CUE_NUMBER,Track,CUE_NAME,Media,Filesets
43,2_act1,Jerry Backstage,"090-654-c00-a_black320_square_medsoft.png v001,103-223-c02-stagedoor_arrow_morered.mov v001,103-113-c11-squareprosc_vaud_sot_bway.mov v001,103-251-c13-dressingroom_ombres.mov v002,103-113-c12-squareprosc_vaud_sot_bway.mov v001,103-251-c14-dressingroom_ombres.mov v002,090-653-c00-a_black320_square_supersoft.png v001,103-202-c13-dressingroom_pattern_morered.mov v001,103-202-c14-dressingroom_pattern_morered.mov v004,103-113-c21-squareprosc_vaud_sot_bway.mov v001,103-251-c22-dressingroom_ombres.mov v002,103-203-c22-dressingroom_pattern_distressed1.mov v002","090-654-a_black320_square_medsoft,103-223-stagedoor_arrow_morered,103-113-squareprosc_vaud_sot_bway,103-251-dressingroom_ombres,090-653-a_black320_square_supersoft,103-202-dressingroom_pattern_morered,103-203-dressingroom_pattern_distressed1"
45,2_act1,Brighten verticals (TBD),"090-654-c00-a_black320_square_medsoft.png v001,103-223-c02-stagedoor_arrow_morered.mov v001,090-653-c00-a_black320_square_supersoft.png v001,103-202-c13-dressingroom_pattern_morered.mov v001,103-251-c13-dressingroom_ombres.mov v002,103-202-c14-dressingroom_pattern_morered.mov v004,103-251-c14-dressingroom_ombres.mov v002,103-203-c22-dressingroom_pattern_distressed1.mov v002,103-251-c22-dressingroom_ombres.mov v002","090-654-a_black320_square_medsoft,103-223-stagedoor_arrow_morered,090-653-a_black320_square_supersoft,103-202-dressingroom_pattern_morered,103-251-dressingroom_ombres,103-203-dressingroom_pattern_distressed1"
46,2_act1,Restore (TBD),"090-654-c00-a_black320_square_medsoft.png v001,103-223-c02-stagedoor_arrow_morered.mov v001,090-653-c00-a_black320_square_supersoft.png v001,103-202-c13-dressingroom_pattern_morered.mov v001,103-251-c13-dressingroom_ombres.mov v002,103-202-c14-dressingroom_pattern_morered.mov v004,103-251-c14-dressingroom_ombres.mov v002,103-203-c22-dressingroom_pattern_distressed1.mov v002,103-251-c22-dressingroom_ombres.mov v002","090-654-a_black320_square_medsoft,103-223-stagedoor_arrow_morered,090-653-a_black320_square_supersoft,103-202-dressingroom_pattern_morered,103-251-dressingroom_ombres,103-203-dressingroom_pattern_distressed1"
47,2_act1,105-AC2,"050-105-c04-woodtexture02.mov v001,102-013-c00-paintedbeach2_ac_deyellow.mov v002,105-031-c13-ac_beachumbrella.mov v003,105-031-c22-ac_beachumbrella.mov v003","050-105-woodtexture02,102-013-paintedbeach2_ac_deyellow,105-031-ac_beachumbrella"
52,2_act1,Splash,"212-054-c00-paintedbeach2_carmel_orangebluerays_sparkle.mov v001,212-086-c00-paintedbeach2_carmel_earlier_deepercomposit.mov v003,212-085-c4b-paintedbeach2_carmel_earlier_composit.mov v001,050-105-c04-woodtexture02.mov v001,212-053-c00-paintedbeach2_carmlel_orangebluerays_foam.mov v001,212-081-c00-paintedbeach2_carmel_earlier.mov v003,105-031-c13-ac_beachumbrella.mov v003,090-653-c00-a_black320_square_supersoft.png v001,105-031-c22-ac_beachumbrella.mov v003","212-054-paintedbeach2_carmel_orangebluerays_sparkle,212-086-paintedbeach2_carmel_earlier_deepercomposit,212-085-paintedbeach2_carmel_earlier_composit,050-105-woodtexture02,212-053-paintedbeach2_carmlel_orangebluerays_foam,212-081-paintedbeach2_carmel_earlier,105-031-ac_beachumbrella,090-653-a_black320_square_supersoft"
53,2_act1,Restore AC2,"212-054-c00-paintedbeach2_carmel_orangebluerays_sparkle.mov v001,212-086-c00-paintedbeach2_carmel_earlier_deepercomposit.mov v003,212-085-c4b-paintedbeach2_carmel_earlier_composit.mov v001,050-105-c04-woodtexture02.mov v001,212-053-c00-paintedbeach2_carmlel_orangebluerays_foam.mov v001,212-081-c00-paintedbeach2_carmel_earlier.mov v003,105-031-c13-ac_beachumbrella.mov v003,105-031-c22-ac_beachumbrella.mov v003","212-054-paintedbeach2_carmel_orangebluerays_sparkle,212-086-paintedbeach2_carmel_earlier_deepercomposit,212-085-paintedbeach2_carmel_earlier_composit,050-105-woodtexture02,212-053-paintedbeach2_carmlel_orangebluerays_foam,212-081-paintedbeach2_carmel_earlier,105-031-ac_beachumbrella"
54,2_act1,106(107)-LAX,"090-051-c00-black_square_hard.png v001,105-031-c13-ac_beachumbrella.mov v003,080-013-c21-wipe_lr.mov v001,106-111-c21-lax_curbbway.mov v002,080-013-c22-wipe_lr.mov v001,105-031-c22-ac_beachumbrella.mov v003,106-102-c22-lax_curb.mov v006","090-051-black_square_hard,105-031-ac_beachumbrella,080-013-wipe_lr,106-111-lax_curbbway,106-102-lax_curb"
56,2_act1,Transition to Letters (Flippy),"107-451-c01-writing_kids.mov v002,107-067-c11-kids_bway.mov v002,107-067-c12-kids_bway.mov v001,107-067-c13-kids_bway.mov v001,107-067-c14-kids_bway.mov v001,102-081-c21-ac_collagetransition_flippy.mov v008,106-111-c21-lax_curbbway.mov v002,106-105-c21-lax_curb_negative.mov v003,102-081-c22-ac_collagetransition_flippy.mov v007,106-102-c22-lax_curb.mov v006,106-105-c22-lax_curb_negative.mov v001","107-451-writing_kids,107-067-kids_bway,102-081-ac_collagetransition_flippy,106-111-lax_curbbway,106-105-lax_curb_negative,106-102-lax_curb"
58,2_act1,107-Letters,"107-451-c01-writing_kids.mov v002,107-067-c11-kids_bway.mov v002,107-067-c12-kids_bway.mov v001,107-067-c13-kids_bway.mov v001,107-067-c14-kids_bway.mov v001","107-451-writing_kids,107-067-kids_bway"
59,2_act1,Teens,"107-451-c01-writing_kids.mov v002,080-023-c11-blockbyblock_videotransition.mov v004,107-067-c11-kids_bway.mov v002,107-074-c11-teens.mov v002,080-023-c12-blockbyblock_videotransition.mov v004,107-067-c12-kids_bway.mov v001,107-074-c12-teens.mov v002,080-023-c13-blockbyblock_videotransition.mov v004,107-067-c13-kids_bway.mov v001,107-074-c13-teens.mov v002,080-023-c14-blockbyblock_videotransition.mov v004,107-067-c14-kids_bway.mov v001,107-074-c14-teens.mov v002","107-451-writing_kids,080-023-blockbyblock_videotransition,107-067-kids_bway,107-074-teens"
61,2_act1,Late Teens,"080-023-c11-blockbyblock_videotransition.mov v004,107-074-c11-teens.mov v002,107-177-c11-lateteens_new.mov v001,080-023-c12-blockbyblock_videotransition.mov v004,107-074-c12-teens.mov v002,107-177-c12-lateteens_new.mov v001,080-023-c13-blockbyblock_videotransition.mov v004,107-074-c13-teens.mov v002,107-177-c13-lateteens_new.mov v003,080-023-c14-blockbyblock_videotransition.mov v004,107-074-c14-teens.mov v002,107-177-c14-lateteens_new.mov v001","080-023-blockbyblock_videotransition,107-074-teens,107-177-lateteens_new"
69.5,2_act1,Colour,"050-105-c04-woodtexture02.mov v001,050-014-c01-papertexture4.mov v001,107-264-c02-stw_petals.mov v003,090-604-c00-a_white320_square_medsoft.png v001,107-177-c11-lateteens_new.mov v001,107-206-c11-altcolor_bway.mov v001,107-401-c11-rippleonup.mov v001,107-177-c12-lateteens_new.mov v001,107-211-c12-altcolor_bway.mov v001,107-401-c12-rippleonup.mov v001,107-177-c13-lateteens_new.mov v003,107-206-c13-altcolor_bway.mov v001,107-401-c13-rippleonup.mov v001,107-177-c14-lateteens_new.mov v001,107-211-c14-altcolor_bway.mov v001,107-401-c14-rippleonup.mov v001","050-105-woodtexture02,050-014-papertexture4,107-264-stw_petals,090-604-a_white320_square_medsoft,107-177-lateteens_new,107-206-altcolor_bway,107-401-rippleonup,107-211-altcolor_bway"
71,2_act1,Show The World,"050-105-c04-woodtexture02.mov v001,050-014-c01-papertexture4.mov v001,107-264-c02-stw_petals.mov v003,090-604-c00-a_white320_square_medsoft.png v001,050-014-c11-papertexture4.mov v001,107-252-c11-stw_patternsbridge.mov v002,050-014-c12-papertexture4.mov v001,107-252-c12-stw_patternsbridge.mov v002,050-014-c13-papertexture4.mov v001,107-252-c13-stw_patternsbridge.mov v003,050-014-c14-papertexture4.mov v001,107-252-c14-stw_patternsbridge.mov v002","050-105-woodtexture02,050-014-papertexture4,107-264-stw_petals,090-604-a_white320_square_medsoft,107-252-stw_patternsbridge"
78,2_act1,Shrink to Ch2 only,"090-653-c00-a_black320_square_supersoft.png v001,090-001-c00-white_square_hard.png v001,050-105-c04-woodtexture02.mov v001,050-014-c11-papertexture4.mov v001,050-014-c12-papertexture4.mov v001,050-014-c13-papertexture4.mov v001,050-014-c14-papertexture4.mov v001","090-653-a_black320_square_supersoft,090-001-white_square_hard,050-105-woodtexture02,050-014-papertexture4"
78.3,2_act1,White Flash,"090-001-c00-white_square_hard.png v001,090-653-c00-a_black320_square_supersoft.png v001,050-014-c11-papertexture4.mov v001,050-014-c12-papertexture4.mov v001,050-014-c13-papertexture4.mov v001,050-014-c14-papertexture4.mov v001","090-001-white_square_hard,090-653-a_black320_square_supersoft,050-014-papertexture4"
80,2_act1,BO,,
81,2_act1,108 - Beach Haven,"080-012-c13-wipe_down.mov v003,050-105-c04-woodtexture02.mov v001,090-653-c00-a_black320_square_supersoft.png v001,102-015-c00-paintedbeach1_ac.mov v002,050-013-c13-papertexture3.mov v001,108-031-c13-theater_postersbase.mov v005,050-013-c21-papertexture3.mov v001,108-031-c21-theater_postersbase.mov v005,050-013-c22-papertexture3.mov v001,108-031-c22-theater_postersbase.mov v006","080-012-wipe_down,050-105-woodtexture02,090-653-a_black320_square_supersoft,102-015-paintedbeach1_ac,050-013-papertexture3,108-031-theater_postersbase"
85,2_act1,Littles->Bunkhouse,"080-012-c13-wipe_down.mov v003,050-105-c04-woodtexture02.mov v001,102-015-c00-paintedbeach1_ac.mov v002,050-013-c13-papertexture3.mov v001,080-013-c13-wipe_lr.mov v001,108-031-c13-theater_postersbase.mov v005,102-010-c02-paintedbeach2_ac.mov v002,050-013-c21-papertexture3.mov v001,080-013-c21-wipe_lr.mov v001,105-108-c21-littles_juststars.mov v003,108-031-c21-theater_postersbase.mov v005,050-013-c22-papertexture3.mov v001,080-013-c22-wipe_lr.mov v001,105-109-c22-littles_justumbrellas.mov v001,108-031-c22-theater_postersbase.mov v006","080-012-wipe_down,050-105-woodtexture02,102-015-paintedbeach1_ac,050-013-papertexture3,080-013-wipe_lr,108-031-theater_postersbase,102-010-paintedbeach2_ac,105-108-littles_juststars,105-109-littles_justumbrellas"
86,2_act1,Bunkhouse,"050-105-c04-woodtexture02.mov v001,090-452-c00-a_black_square_soft.png v001,102-015-c00-paintedbeach1_ac.mov v002,109-120-c21-bunkhouse_pattern.mov v007,090-454-c00-a_black_square_medsoft.png v001,050-020-c13-papertexture10.mov v001,109-120-c13-bunkhouse_pattern.mov v003,050-024-c21-papertexture14.mov v001,050-024-c22-papertexture14.mov v001,109-120-c22-bunkhouse_pattern.mov v007","050-105-woodtexture02,090-452-a_black_square_soft,102-015-paintedbeach1_ac,109-120-bunkhouse_pattern,090-454-a_black_square_medsoft,050-020-papertexture10,050-024-papertexture14"
87,2_act1,Shrink,"050-105-c04-woodtexture02.mov v001,090-452-c00-a_black_square_soft.png v001,102-015-c00-paintedbeach1_ac.mov v002,109-120-c21-bunkhouse_pattern.mov v007,090-454-c00-a_black_square_medsoft.png v001,050-020-c13-papertexture10.mov v001,109-120-c13-bunkhouse_pattern.mov v003,050-024-c21-papertexture14.mov v001,050-024-c22-papertexture14.mov v001,109-120-c22-bunkhouse_pattern.mov v007","050-105-woodtexture02,090-452-a_black_square_soft,102-015-paintedbeach1_ac,109-120-bunkhouse_pattern,090-454-a_black_square_medsoft,050-020-papertexture10,050-024-papertexture14"
87.5,2_act1,"Beach Out ""You and I""","050-105-c04-woodtexture02.mov v001,102-015-c00-paintedbeach1_ac.mov v002","050-105-woodtexture02,102-015-paintedbeach1_ac"
89,2_act1,CBC Radio,"090-452-c00-a_black_square_soft.png v001,108-218-c13-cbs_blkbot_still.mov v003","090-452-a_black_square_soft,108-218-cbs_blkbot_still"
90,2_act1,Beach Haven,"050-105-c04-woodtexture02.mov v001,102-015-c00-paintedbeach1_ac.mov v002,050-013-c13-papertexture3.mov v001,108-031-c13-theater_postersbase.mov v005,050-013-c21-papertexture3.mov v001,108-031-c21-theater_postersbase.mov v005,050-013-c22-papertexture3.mov v001,108-031-c22-theater_postersbase.mov v006","050-105-woodtexture02,102-015-paintedbeach1_ac,050-013-papertexture3,108-031-theater_postersbase"
94,2_act1,Minus Green,"050-105-c04-woodtexture02.mov v001,102-015-c00-paintedbeach1_ac.mov v002,050-013-c13-papertexture3.mov v001,108-031-c13-theater_postersbase.mov v005,050-013-c21-papertexture3.mov v001,108-031-c21-theater_postersbase.mov v005,050-013-c22-papertexture3.mov v001,108-031-c22-theater_postersbase.mov v006","050-105-woodtexture02,102-015-paintedbeach1_ac,050-013-papertexture3,108-031-theater_postersbase"
95,2_act1,Brand New Me,"050-105-c04-woodtexture02.mov v001,102-015-c00-paintedbeach1_ac.mov v002,050-013-c13-papertexture3.mov v001,108-040-c13-theater_posters_coloroffset.mov v005,050-013-c21-papertexture3.mov v001,108-040-c21-theater_posters_coloroffset.mov v006,050-013-c22-papertexture3.mov v001,108-049-c22-theater_posters_coloroffset_purpstripe.mov v007","050-105-woodtexture02,102-015-paintedbeach1_ac,050-013-papertexture3,108-040-theater_posters_coloroffset,108-049-theater_posters_coloroffset_purpstripe"
100,2_act1,Button,"050-105-c04-woodtexture02.mov v001,102-015-c00-paintedbeach1_ac.mov v002,050-013-c13-papertexture3.mov v001,108-040-c13-theater_posters_coloroffset.mov v005,050-013-c21-papertexture3.mov v001,108-040-c21-theater_posters_coloroffset.mov v006,050-013-c22-papertexture3.mov v001,108-049-c22-theater_posters_coloroffset_purpstripe.mov v007","050-105-woodtexture02,102-015-paintedbeach1_ac,050-013-papertexture3,108-040-theater_posters_coloroffset,108-049-theater_posters_coloroffset_purpstripe"
102,2_act1,Blackout,,
