Cue table for 4_act2
Beat	Tag	Note	Track_Time	TC_Time	Section_Break
1590.00000	CUE 02.11.00	Birthday Letters (Flippy)	00:26:30.00	00:26:30.00	1
1650.00000	CUE 02.17.00	Nina's Letter	00:27:30.00	00:27:30.00	1
1710.00000	CUE 02.18.00	Cee Cee Logo	00:28:30.00	00:28:30.00	1
1770.00000	CUE 02.19.00	80's Dressing Room (RT)	00:29:30.00	00:29:30.00	1
1830.00000	CUE 02.21.00	Announcer (RT)	00:30:30.00	00:30:30.00	1
1890.00000	CUE 02.22.00	Nina Letters 2	00:31:30.00	00:31:30.00	1
1950.00000	CUE 02.23.00	Carmel Hall	00:32:30.00	00:32:30.00	1
2010.00000	CUE 02.24.00	Carmel Bedroom	00:33:30.00	00:33:30.00	1
2040.00000	CUE 02.25.00	Living Room	00:34:00.00	00:34:00.00	1
2070.00000	CUE 02.26.00	Bedroom Restore	00:34:30.00	00:34:30.00	1
2100.00000	CUE 02.28.00	Beach Day	00:35:00.00	00:35:00.00	1
2160.00000	CUE 02.31.00	DS Beach Golden	00:36:00.00	00:36:00.00	1
2220.00000	CUE 02.32.00	Restore	00:37:00.00	00:37:00.00	1
2250.00000	CUE 02.34.00	Janice Day	00:37:30.00	00:37:30.00	1
2310.00000	CUE 02.40.00	Nina Evening	00:38:30.00	00:38:30.00	1
2340.00000	CUE 02.44.00	Desat	00:39:00.00	00:39:00.00	1
2370.00000	CUE 02.48.00	BO w IRIS	00:39:30.00	00:39:30.00	1
2400.00000	CUE 02.51.00	Sun Burst Low	00:40:00.00	00:40:00.00	1
2430.00000	CUE 02.55.00	Wind Beneath My Wings	00:40:30.00	00:40:30.00	1
2490.00000	CUE 02.57.00	Fly Shrink	00:41:30.00	00:41:30.00	1
2550.00000	CUE 02.60.00	Ombre	00:42:30.00	00:42:30.00	1
2610.00000	CUE 02.61.00	Collage	00:43:30.00	00:43:30.00	1
2670.00000	CUE 02.62.00	Flash	00:44:30.00	00:44:30.00	1
2730.00000	CUE 02.63.00	Bows	00:45:30.00	00:45:30.00	1
2790.00000	CUE 02.71.00	BO	00:46:30.00	00:46:30.00	1
2850.00000	CUE 02.72.00	Restore	00:47:30.00	00:47:30.00	1
2910.00000	CUE 02.73.00	House Up	00:48:30.00	00:48:30.00	1
3090.00000		END OF SHOW	00:51:30.00	00:51:30.00	1
